temperature,humidity,label
23.28,79.52,1
32.35,84.8,1
22.49,76.28,1
24.04,76.43,1
31.16,67.49,0
24.03,84.43,1
24.08,81.73,1
24.34,71.01,1
25.6,80.52,0
26.1,83.42,0
26.75,73.54,0
27.52,84.01,0
24.98,88.84,1
26.45,71.61,0
28.55,99.31,1
31.08,71.77,0
28.8,86.92,0
28.68,75.02,0
21.65,59.51,1
30.74,64.64,0
31.92,80.69,0
26.36,72.9,0
30.29,82.18,0
33.68,66.88,1
25.11,84.02,0
25.62,77.68,0
32.42,76.42,1
28.24,82.47,0
22.22,81.16,1
24.98,94.8,1
27.45,76.4,0
26.02,84.91,0
30.19,74.63,0
18.9,86.62,1
26.42,66.43,0
26.64,87.14,0
27.23,80.81,0
29.62,74.41,0
29.6,87.55,0
30.45,79.7,0
24.7,80.47,1
20.17,85.06,1
28.12,71.55,0
32.5,71.64,1
26.34,83.08,0
32.78,96.47,1
32.03,89.42,1
26.66,71.52,0
24.62,69.65,1
24.14,89.9,1
23.9,100.0,1
26.98,82.82,0
25.93,75.28,0
25.68,69.99,0
26.8,87.18,0
29.63,83.78,0
26.66,75.06,0
25.38,81.95,0
27.6,79.15,0
33.67,87.34,1
28.03,82.23,0
26.66,79.97,0
29.13,81.24,0
25.82,79.78,0
29.72,83.1,0
30.7,68.2,0
33.61,69.87,1
29.65,84.43,0
30.79,79.88,0
28.6,73.73,0
24.51,80.24,1
31.52,80.43,0
27.25,80.16,0
25.91,77.2,0
27.15,89.43,0
25.37,84.4,0
23.5,89.07,1
26.28,76.99,0
28.56,88.72,0
22.88,89.41,1
31.3,72.18,0
25.51,84.66,0
25.88,75.85,0
31.21,86.12,0
31.17,75.76,0
33.92,65.91,1
23.86,84.16,1
20.55,77.84,1
29.49,89.21,0
28.56,66.83,0
27.68,71.24,0
25.96,74.78,0
29.7,93.79,1
29.87,87.55,0
25.5,84.2,0
25.62,86.96,0
34.14,86.29,1
29.13,94.47,1
24.68,70.14,1
27.13,81.71,0
34.16,95.23,1
27.26,66.26,0
26.19,65.7,0
23.38,88.58,1
26.39,85.22,0
27.87,66.43,0
29.12,76.46,0
24.2,92.11,1
29.93,80.5,0
27.57,86.6,0
29.38,75.91,0
28.92,80.7,0
31.63,90.38,1
27.48,67.22,0
28.55,71.94,0
35.07,83.23,1
23.5,79.99,1
33.95,76.46,1
23.59,87.03,1
25.23,89.31,0
26.59,66.72,0
25.02,86.5,0
21.2,91.57,1
27.38,88.12,0
20.28,83.96,1
28.93,75.88,0
28.15,69.76,0
24.57,78.56,1
28.5,85.96,0
27.06,69.53,0
24.48,84.59,1
28.56,88.18,0
31.19,94.13,1
25.11,81.39,0
22.06,85.64,1
25.56,75.18,0
27.27,83.37,0
31.49,78.79,0
28.69,77.94,0
28.15,77.69,0
28.56,93.33,1
23.32,85.63,1
33.34,92.39,1
31.01,89.13,0
26.94,81.59,0
29.42,82.86,0
34.85,68.42,1
26.1,71.59,0
32.03,86.1,1
28.61,78.01,0
27.43,83.54,0
32.99,87.93,1
28.39,75.97,0
24.86,68.97,1
25.24,85.62,0
23.05,87.54,1
25.95,80.02,0
26.99,76.08,0
26.39,89.18,0
36.0,85.01,1
30.76,74.46,0
23.3,84.63,1
25.04,79.37,0
32.95,85.71,1
30.77,71.55,0
33.22,80.04,1
25.79,96.11,1
25.36,71.69,0
28.35,95.74,1
27.07,71.65,0
24.26,93.8,1
26.35,63.41,0
33.14,75.8,1
27.86,83.94,0
22.26,99.41,1
30.14,78.84,0
27.57,76.62,0
26.0,73.6,0
27.89,73.42,0
27.63,65.37,0
26.35,76.82,0
25.7,76.29,0
34.71,93.74,1
30.2,87.63,0
25.3,81.22,0
28.98,76.84,0
28.16,67.24,0
24.6,89.14,1
30.88,86.17,0
27.62,70.52,0
22.81,83.7,1
31.31,90.0,1
33.15,82.91,1
29.12,63.47,0
34.61,80.49,1
28.8,70.94,0
23.49,66.28,1
26.17,74.81,0
29.87,72.29,0
25.09,83.61,0
26.1,86.61,0
34.2,75.05,1
27.25,64.0,0
23.17,65.72,1
30.02,66.73,0
29.58,74.68,0
32.06,63.14,1
21.69,77.34,1
31.46,87.14,0
28.91,72.31,0
23.87,86.58,1
27.72,73.57,0
28.3,86.86,0
30.66,77.01,0
27.6,76.36,0
25.02,65.67,0
25.15,83.07,0
28.55,80.57,0
24.31,78.92,1
23.43,75.62,1
26.6,86.23,0
25.57,81.83,0
29.37,66.55,0
22.12,78.19,1
26.54,79.26,0
30.64,77.18,0
32.5,72.65,1
30.72,68.02,0
21.81,77.68,1
36.0,70.55,1
26.78,77.73,0
32.76,91.53,1
23.03,89.01,1
32.74,80.2,1
25.14,78.69,0
26.49,83.6,0
30.37,79.07,0
25.12,86.87,0
21.38,90.38,1
31.02,89.64,0
23.91,71.8,1
30.61,78.8,0
28.14,92.97,1
29.32,80.56,0
27.8,92.43,1
28.04,78.58,0
24.42,75.6,1
23.9,76.96,1
29.04,83.52,0
25.13,77.66,0
30.91,81.75,0
23.51,76.88,1
24.31,87.81,1
32.64,69.81,1
27.32,74.42,0
27.38,82.69,0
28.55,82.0,0
27.62,71.68,0
31.39,89.28,0
25.8,79.29,0
23.01,75.93,1
25.52,61.51,0
28.22,60.42,0
32.4,98.35,1
22.28,88.13,1
30.03,75.37,0
22.82,80.21,1
32.13,82.66,1
28.25,86.31,0
20.72,76.31,1
31.84,87.19,0
27.22,75.18,0
24.77,76.82,1
24.79,85.8,1
33.57,68.04,1
20.35,70.6,1
26.21,78.83,0
24.31,81.11,1
29.15,76.15,0
24.09,76.03,1
29.61,82.1,0
30.31,78.37,0
34.74,77.19,1
29.3,80.15,0
31.0,71.28,0
30.32,70.12,0
20.92,75.97,1
25.04,71.67,0
29.42,69.28,0
25.86,84.67,0
31.5,85.33,0
28.19,83.46,0
31.24,65.39,0
22.31,92.06,1
26.54,65.1,0
26.36,80.38,0
30.84,73.87,0
21.64,83.44,1
25.23,90.06,1
29.01,72.9,0
33.89,73.71,1
20.32,85.5,1
23.89,72.01,1
28.63,90.97,1
24.71,68.1,1
24.17,64.53,1
29.77,79.96,0
28.18,77.29,0
25.19,72.6,0
29.41,86.21,0
32.86,100.0,1
25.48,90.44,1
31.59,88.11,0
28.5,85.17,0
24.17,98.68,1
20.89,68.64,1
31.71,75.48,0
32.33,86.61,1
27.14,85.17,0
27.6,79.06,0
31.66,72.53,0
23.86,83.6,1
28.87,82.34,0
28.28,87.08,0
23.99,79.66,1
26.34,77.93,0
32.26,96.53,1
